,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,CDD,CDD,CDD,CDD,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,z3,z3,z3,z3,z3,z3,z3,stats,stats,stats,stats,stats,stats,stats
,answer,runtime,peak_memory_kbytes,eq_conflict,output_constraints,visited_nodes,total_constraints,eliminated_by_eq,eliminated_vars,input_constraints,only_qe_ms,answer,runtime,peak_memory_kbytes,output_constraints,answer,runtime,peak_memory_kbytes,trivial_false,trivial_true,contains_disjunction,output_constraints,answer,runtime,peak_memory_kbytes,eliminated_by_eq,output_constraints,eliminated_vars,visited_nodes,input_constraints,total_constraints,eq_conflict,only_qe_ms,answer,runtime,peak_memory_kbytes,output_constraints,contains_disjunction,trivial_false,trivial_true,constraints,variables,eliminated-variables,matrix-density-overall,matrix-density-eliminated,graph-density-overall,graph-density-eliminated
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_3-prop-3_last5,success,1.719,8672,0.0,254.0,5.0,10.0,0.0,5.0,259.0,1410.0,success,23.664,42492,254.0,success,0.383,80276,0.0,0.0,0.0,254.0,success,2.019,8532,0.0,254.0,5.0,0.0,259.0,0.0,0.0,1515.0,success,3.675,142860,264.0,1.0,0.0,0.0,259,88,5,0.2801179992191228,0.0115830115830115,0.4430647291941876,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_3-prop-3_random5,memout,305.0,3994356,,,,,,,,,timeout,310.0,778880,,invalid,199.687,3989872,,,,,memout,305.0,199148,,,,,,,,,timeout,310.0,143408,,,,,259,88,5,0.2801179992191228,0.2679536679536679,0.4430647291941876,0.56
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_4-prop-3_first5,timeout,310.0,665248,,,,,,,,,timeout,310.0,368600,,timeout,310.0,3489076,,,,,memout,305.0,815496,,,,,,,,,timeout,310.0,88264,,,,,88,31,5,0.3444602272727273,0.6136363636363636,0.5427302996670367,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_4-prop-3_last5,success,0.197,7264,0.0,103.0,5.0,80.0,0.0,5.0,88.0,74.0,success,0.875,7760,103.0,success,0.332,57600,0.0,0.0,1.0,415.0,success,8.916,289804,0.0,18114.0,5.0,0.0,88.0,0.0,0.0,7494.0,success,3.252,55852,261.0,1.0,0.0,0.0,88,31,5,0.3444602272727273,0.0522727272727272,0.5427302996670367,0.4
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_4-prop-3_random5,success,50.674,653036,0.0,61805.0,1702.0,640635.0,0.0,5.0,88.0,47545.0,success,61.816,896408,61806.0,timeout,310.0,3257996,,,,,memout,305.0,541624,,,,,,,,,timeout,310.0,86764,,,,,88,31,5,0.3444602272727273,0.3090909090909091,0.5427302996670367,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_5-prop-3_first5,timeout,310.0,560036,,,,,,,,,timeout,310.0,637316,,timeout,310.0,3880412,,,,,memout,305.0,257080,,,,,,,,,timeout,310.0,83932,,,,,169,58,5,0.3075920168488616,0.6390532544378699,0.5123076923076924,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_5-prop-3_last5,success,0.669,7748,0.0,164.0,5.0,10.0,0.0,5.0,169.0,455.0,success,5.432,20024,164.0,success,0.23,61820,0.0,0.0,0.0,164.0,success,0.601,7992,0.0,164.0,5.0,0.0,169.0,0.0,0.0,445.0,success,1.393,85200,174.0,1.0,0.0,0.0,169,58,5,0.3075920168488616,0.0177514792899408,0.5123076923076924,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_5-prop-3_random5,timeout,310.0,1228620,,,,,,,,,timeout,310.0,1064892,,timeout,310.0,3863876,,,,,memout,305.0,2565588,,,,,,,,,timeout,310.0,84024,,,,,169,58,5,0.3075920168488616,0.3065088757396449,0.5123076923076924,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_6-prop-3_first5,timeout,310.0,707980,,,,,,,,,timeout,310.0,655052,,timeout,310.0,3814768,,,,,memout,305.0,2845764,,,,,,,,,timeout,310.0,84632,,,,,112,39,5,0.3205357142857143,0.625,0.5391003460207613,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_6-prop-3_last5,success,0.285,8204,0.0,177.0,32.0,516.0,0.0,5.0,112.0,195.0,success,1.724,10844,177.0,success,0.968,200952,0.0,0.0,1.0,4815.0,memout,305.0,3630824,,,,,,,,,timeout,310.0,86068,,,,,112,39,5,0.3205357142857143,0.0553571428571428,0.5391003460207613,0.7
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_6-prop-3_random5,timeout,310.0,1173564,,,,,,,,,timeout,310.0,729256,,timeout,310.0,3546504,,,,,memout,305.0,427024,,,,,,,,,timeout,310.0,84784,,,,,112,39,5,0.3205357142857143,0.3553571428571428,0.5391003460207613,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_7-prop-3_first5,timeout,310.0,804052,,,,,,,,,timeout,310.0,553684,,timeout,310.0,3907064,,,,,memout,305.0,3768572,,,,,,,,,timeout,310.0,53892,,,,,118,41,5,0.3264729620661824,0.6271186440677966,0.5309181761399125,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_7-prop-3_last5,success,0.267,7296,0.0,113.0,5.0,10.0,0.0,5.0,118.0,158.0,success,1.826,11444,113.0,success,0.241,53668,0.0,0.0,0.0,113.0,success,0.286,7568,0.0,113.0,5.0,0.0,118.0,0.0,0.0,154.0,success,1.734,55436,123.0,1.0,0.0,0.0,118,41,5,0.3264729620661824,0.0254237288135593,0.5309181761399125,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_7-prop-3_random5,timeout,310.0,3187384,,,,,,,,,timeout,310.0,147776,,timeout,310.0,3726820,,,,,memout,305.0,3315428,,,,,,,,,timeout,310.0,83944,,,,,118,41,5,0.3264729620661824,0.3338983050847458,0.5309181761399125,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_8-prop-3_first5,timeout,310.0,659664,,,,,,,,,timeout,310.0,716640,,timeout,310.0,3734904,,,,,memout,305.0,1852028,,,,,,,,,timeout,310.0,88556,,,,,103,36,5,0.3198635528732616,0.6213592233009708,0.5415986949429038,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_8-prop-3_last5,success,0.542,7940,0.0,172.0,23.0,382.0,0.0,5.0,103.0,156.0,success,1.391,9884,172.0,success,0.5,131496,0.0,0.0,1.0,2940.0,memout,305.0,3994256,,,,,,,,,timeout,310.0,54336,,,,,103,36,5,0.3198635528732616,0.0601941747572815,0.5415986949429038,0.65
