,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,CDD,CDD,CDD,CDD,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,stats,stats,stats,stats,stats,stats,stats
,answer,runtime,peak_memory_kbytes,eliminated_by_eq,output_constraints,only_qe_ms,eq_conflict,eliminated_vars,input_constraints,total_constraints,visited_nodes,answer,runtime,peak_memory_kbytes,output_constraints,answer,runtime,peak_memory_kbytes,trivial_false,contains_disjunction,output_constraints,trivial_true,answer,runtime,peak_memory_kbytes,input_constraints,output_constraints,only_qe_ms,total_constraints,eq_conflict,visited_nodes,eliminated_by_eq,eliminated_vars,constraints,variables,eliminated-variables,matrix-density-overall,matrix-density-eliminated,graph-density-overall,graph-density-eliminated
12_variables/12_constraints/7_density_4,success,0.168,6708,0.0,1.0,2.0,0.0,6.0,12.0,40.0,5.0,success,0.12,3492,1.0,success,0.211,49476,0.0,0.0,1.0,1.0,success,0.025,6956,12.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.7243589743589743,0.6944444444444444,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/7_density_5,success,0.04,6668,0.0,1.0,1.0,0.0,6.0,12.0,16.0,5.0,success,0.112,3636,1.0,success,0.156,45424,0.0,0.0,1.0,1.0,success,0.036,7800,12.0,1.0,10.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.6858974358974359,0.6666666666666666,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/7_density_6,success,0.027,6664,0.0,1.0,0.0,0.0,6.0,12.0,7.0,3.0,success,0.083,3496,1.0,success,0.181,47212,0.0,0.0,1.0,1.0,success,0.025,6876,12.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.6923076923076923,0.7083333333333334,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/7_density_7,success,0.028,6732,0.0,1.0,2.0,0.0,6.0,12.0,57.0,7.0,success,0.129,3568,1.0,success,0.172,51544,0.0,0.0,1.0,1.0,memout,305.0,445332,,,,,,,,,12,12,6,0.7115384615384616,0.6944444444444444,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/7_density_8,success,0.037,6752,0.0,6.0,7.0,0.0,6.0,12.0,248.0,29.0,success,0.12,3712,6.0,success,0.234,70244,0.0,1.0,348.0,0.0,memout,305.0,3498004,,,,,,,,,12,12,6,0.7371794871794872,0.75,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/7_density_9,success,0.045,6716,0.0,1.0,2.0,0.0,6.0,12.0,40.0,5.0,success,0.085,3700,1.0,success,0.295,49288,0.0,0.0,1.0,1.0,memout,305.0,1927820,,,,,,,,,12,12,6,0.7692307692307693,0.7638888888888888,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/9_density_0,success,0.081,6752,0.0,1.0,13.0,0.0,6.0,12.0,420.0,51.0,success,0.177,3604,1.0,success,0.258,49488,0.0,0.0,1.0,1.0,memout,305.0,2295608,,,,,,,,,12,12,6,0.8910256410256411,0.8888888888888888,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/9_density_1,success,0.033,6752,0.0,1.0,5.0,0.0,6.0,12.0,174.0,23.0,success,0.077,3568,1.0,success,0.249,47280,0.0,0.0,1.0,1.0,memout,305.0,295452,,,,,,,,,12,12,6,0.903846153846154,0.8611111111111112,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/9_density_2,success,0.056,6768,0.0,20.0,27.0,0.0,6.0,12.0,932.0,108.0,success,0.111,3496,20.0,success,0.285,72024,0.0,1.0,318.0,0.0,memout,305.0,3994564,,,,,,,,,12,12,6,0.8782051282051282,0.875,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/9_density_3,success,0.052,6772,0.0,20.0,9.0,0.0,6.0,12.0,247.0,27.0,success,0.082,3720,20.0,success,0.269,53700,0.0,1.0,72.0,0.0,memout,305.0,3994512,,,,,,,,,12,12,6,0.9166666666666666,0.9305555555555556,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/9_density_4,success,0.035,6744,0.0,1.0,4.0,0.0,6.0,12.0,114.0,14.0,success,0.082,3604,1.0,success,0.193,45344,0.0,0.0,1.0,1.0,memout,305.0,3994464,,,,,,,,,12,12,6,0.8910256410256411,0.875,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/9_density_5,success,0.044,6784,0.0,28.0,14.0,0.0,6.0,12.0,423.0,46.0,success,0.085,3616,28.0,success,0.235,59808,0.0,1.0,186.0,0.0,memout,305.0,36232,,,,,,,,,12,12,6,0.8974358974358975,0.9027777777777778,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/9_density_6,success,0.064,6776,0.0,28.0,22.0,0.0,6.0,12.0,715.0,81.0,success,0.126,3624,28.0,success,0.192,61972,0.0,1.0,216.0,0.0,memout,305.0,1340724,,,,,,,,,12,12,6,0.9102564102564102,0.9027777777777778,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/9_density_7,success,0.061,6808,0.0,34.0,30.0,0.0,6.0,12.0,1035.0,116.0,success,0.135,3576,34.0,success,0.314,64016,0.0,1.0,168.0,0.0,memout,305.0,50836,,,,,,,,,12,12,6,0.903846153846154,0.9027777777777778,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/9_density_8,success,0.093,6576,0.0,30.0,27.0,0.0,6.0,12.0,948.0,108.0,success,0.078,3508,30.0,success,0.235,67892,0.0,1.0,246.0,0.0,memout,305.0,1133484,,,,,,,,,12,12,6,0.8910256410256411,0.875,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/9_density_9,success,0.093,6764,0.0,10.0,10.0,0.0,6.0,12.0,328.0,39.0,success,0.111,3660,10.0,success,0.386,57900,0.0,1.0,78.0,0.0,memout,305.0,2658936,,,,,,,,,12,12,6,0.9166666666666666,0.875,0.6311475409836066,0.6774193548387096
12_variables/15_constraints/1_density_0,success,0.045,6616,0.0,4.0,0.0,0.0,6.0,10.0,14.0,5.0,success,0.104,3768,9.0,success,0.36,45512,0.0,0.0,4.0,0.0,success,0.031,6764,10.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.1589743589743589,0.1,0.1239669421487603,0.2333333333333333
12_variables/15_constraints/1_density_1,success,0.024,6632,0.0,6.0,0.0,0.0,6.0,15.0,16.0,5.0,success,0.087,3772,6.0,success,0.148,43408,0.0,0.0,6.0,0.0,success,0.022,6776,15.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.2358974358974359,0.1555555555555555,0.2786885245901639,0.3225806451612903
12_variables/15_constraints/1_density_2,success,0.031,6616,0.0,6.0,0.0,0.0,6.0,10.0,19.0,6.0,success,0.202,3576,12.0,success,0.197,45408,0.0,0.0,6.0,0.0,success,0.022,6796,10.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.1641025641025641,0.0555555555555555,0.1639344262295081,0.0967741935483871
12_variables/15_constraints/1_density_3,success,0.024,6620,0.0,6.0,0.0,0.0,6.0,14.0,7.0,5.0,success,0.17,3568,9.0,success,0.152,43472,0.0,0.0,5.0,0.0,success,0.02,6800,14.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.1692307692307692,0.1333333333333333,0.1311475409836065,0.2258064516129032
12_variables/15_constraints/1_density_4,success,0.024,6616,0.0,4.0,0.0,0.0,6.0,10.0,20.0,6.0,success,0.078,3704,9.0,success,0.236,45416,0.0,0.0,4.0,0.0,success,0.025,6764,10.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.1794871794871795,0.1333333333333333,0.1652892561983471,0.3666666666666666
12_variables/15_constraints/1_density_5,success,0.076,6608,0.0,4.0,0.0,0.0,6.0,7.0,6.0,4.0,success,0.143,3636,12.0,success,0.178,43392,0.0,0.0,4.0,0.0,success,0.022,6788,7.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.1384615384615384,0.0555555555555555,0.1311475409836065,0.1290322580645161
12_variables/15_constraints/1_density_6,success,0.023,6616,0.0,5.0,0.0,0.0,6.0,10.0,19.0,6.0,success,0.145,3568,10.0,success,0.149,45352,0.0,0.0,4.0,0.0,success,0.022,6760,10.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.1538461538461538,0.1,0.1229508196721311,0.2580645161290322
12_variables/15_constraints/1_density_7,success,0.098,6612,0.0,5.0,0.0,0.0,6.0,11.0,13.0,6.0,success,0.28,3428,9.0,success,0.214,45524,0.0,0.0,5.0,0.0,success,0.049,6764,11.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.1589743589743589,0.1111111111111111,0.1229508196721311,0.2580645161290322
12_variables/15_constraints/1_density_8,success,0.023,6620,0.0,3.0,0.0,0.0,6.0,12.0,10.0,5.0,success,0.11,3544,6.0,success,0.148,45460,0.0,0.0,3.0,0.0,success,0.022,6776,12.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.2307692307692307,0.2,0.2704918032786885,0.4193548387096774
12_variables/15_constraints/1_density_9,success,0.077,6612,0.0,6.0,0.0,0.0,6.0,9.0,21.0,6.0,success,0.081,3628,12.0,success,0.15,45676,0.0,0.0,6.0,0.0,success,0.026,6788,9.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.1487179487179487,0.0666666666666666,0.1487603305785124,0.1333333333333333
12_variables/15_constraints/3_density_0,success,0.039,6956,0.0,90.0,15.0,0.0,6.0,15.0,568.0,37.0,success,0.101,3636,90.0,success,0.207,65904,0.0,1.0,549.0,0.0,success,1.515,81536,15.0,19651.0,1299.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.3794871794871794,0.3888888888888889,0.5573770491803278,0.6451612903225806
12_variables/15_constraints/3_density_1,success,0.031,6844,0.0,57.0,7.0,0.0,6.0,15.0,260.0,17.0,success,0.081,3532,57.0,success,0.335,69880,0.0,1.0,648.0,0.0,success,0.045,7792,15.0,273.0,18.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.3743589743589743,0.3444444444444444,0.5409836065573771,0.5806451612903226
12_variables/15_constraints/3_density_2,success,0.046,6728,0.0,27.0,4.0,0.0,6.0,14.0,156.0,13.0,success,0.093,3464,28.0,success,0.199,49536,0.0,1.0,96.0,0.0,success,0.026,7060,14.0,77.0,5.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.3435897435897436,0.3333333333333333,0.5,0.5483870967741935
12_variables/15_constraints/3_density_3,success,0.028,6692,0.0,13.0,1.0,0.0,6.0,15.0,58.0,6.0,success,0.08,3732,13.0,success,0.167,45668,0.0,1.0,27.0,0.0,success,0.039,7200,15.0,175.0,14.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.3948717948717948,0.3111111111111111,0.5491803278688525,0.6451612903225806
12_variables/15_constraints/3_density_4,success,0.093,6664,0.0,14.0,1.0,0.0,6.0,15.0,68.0,8.0,success,0.112,3628,14.0,success,0.221,47452,0.0,1.0,36.0,0.0,success,0.035,7188,15.0,114.0,8.0,0.0,0.0,0.0,0.0,6.0,15,12,6,0.3487179487179487,0.2888888888888888,0.5491803278688525,0.6129032258064516
