,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
20211101-Geogebra/RightTriangle-Bottema6_1a.smt2,timeout,63020,55884,timeout,63017,55876,0.0,0.0,timeout,63020,55948,0.0,0.0,timeout,63016,64936,timeout,63098,83232
20211101-Geogebra/Triangle-Bottema1_9.smt2,timeout,63030,88120,timeout,63025,63260,0.0,0.0,timeout,63016,35108,0.0,0.0,sat,1045,16812,timeout,63020,165860
20211101-Geogebra/RightTriangle-Bottema4_2b.smt2,sat,539,7300,sat,266,7060,1.0,0.0,sat,42,5320,1.0,0.0,sat,54,16156,timeout,63023,126048
20211101-Geogebra/IsoTriangle-Perimeter_CircumRadius_b.smt2,timeout,63017,63792,timeout,63019,47920,0.0,0.0,timeout,65330,63800,0.0,0.0,sat,14489,18080,timeout,63026,230832
20211101-Geogebra/IsoTriangle-Bottema5_3a.smt2,timeout,63024,74744,timeout,63097,74696,0.0,0.0,sat,977,6504,0.0,1.0,sat,162,16288,timeout,63089,121868
20211101-Geogebra/Triangle-Bottema1_17.smt2,sat,436,7152,sat,395,7104,0.0,0.0,sat,370,7168,0.0,0.0,sat,77,16068,timeout,63027,162152
20211101-Geogebra/RegNonagon-Diagonal_Side.smt2,timeout,63019,107796,timeout,63019,115844,0.0,0.0,timeout,63022,99752,0.0,0.0,timeout,63012,40956,timeout,63035,625356
20211101-Geogebra/RegHexagon-Diagonal_Side.smt2,sat,1201,6084,sat,1098,6016,0.0,0.0,sat,884,6132,0.0,0.0,sat,4274,18168,timeout,63020,119084
20211101-Geogebra/IsoTriangle-Median_Perimeter_a1.smt2,timeout,63019,83664,timeout,63023,85700,0.0,0.0,timeout,63018,83680,0.0,0.0,sat,2009,18016,timeout,63022,200848
20211101-Geogebra/Triangle-2Sides_Medians_a.smt2,timeout,63022,173000,timeout,63034,173080,0.0,0.0,timeout,63041,173148,0.0,0.0,sat,1425,18676,timeout,63019,145764
20211101-Geogebra/IsoRightTriangle-Bottema1_5a.smt2,sat,3828,13136,sat,3814,12988,0.0,0.0,sat,4009,13060,0.0,0.0,sat,40,15128,timeout,63017,115196
20211101-Geogebra/RightTriangle-Bottema1_1b.smt2,timeout,63015,41980,timeout,63052,41952,0.0,0.0,sat,57,5524,1.0,0.0,sat,43,15944,timeout,63029,551036
20211101-Geogebra/KochanskiPiApproximation.smt2,sat,47,5264,sat,48,5196,0.0,0.0,sat,37,5240,0.0,0.0,sat,95,16284,timeout,63034,173784
20211101-Geogebra/Triangle-Bottema1_14.smt2,timeout,63021,59244,sat,331,7448,0.0,1.0,sat,180,7300,0.0,1.0,sat,93,16256,timeout,63020,115808
20211101-Geogebra/IsoRightTriangle-Bottema1_1a.smt2,sat,27,5120,sat,25,5084,0.0,0.0,sat,25,5148,0.0,0.0,sat,69,16052,timeout,63017,82656
20211101-Geogebra/IsoRightTriangle-Bottema1_6b.smt2,timeout,63037,265204,timeout,63025,265168,0.0,0.0,timeout,63026,265228,0.0,0.0,sat,57,15984,timeout,63024,265328
20211101-Geogebra/EulerInequality_IsoTriangle-CircumRadius_InRadius.smt2,timeout,63017,101056,timeout,63019,101272,0.0,0.0,timeout,63019,100996,0.0,0.0,sat,1046,16624,timeout,63019,136292
20211101-Geogebra/IsoTriangle-Bottema6_1a.smt2,timeout,63016,11012,sat,2037,9676,0.0,0.0,sat,2097,9540,0.0,0.0,sat,61,16292,timeout,63018,71772
20211101-Geogebra/IsoTriangle-Bottema1_1a.smt2,sat,25,5176,sat,33,5040,0.0,1.0,sat,41,5096,0.0,1.0,sat,33,15340,timeout,63018,133636
20211101-Geogebra/RegOctagon-Diagonal_Side.smt2,timeout,63026,236232,timeout,63029,235936,0.0,0.0,timeout,63019,109432,0.0,0.0,timeout,63018,93484,timeout,63025,380228
20211101-Geogebra/IsoRightTriangle-Bottema1_2a.smt2,sat,1059,7216,sat,1288,7292,0.0,0.0,sat,1294,7364,0.0,0.0,sat,55,15680,timeout,63029,130032
20211101-Geogebra/IsoTriangle-Bottema1_19b.smt2,sat,24,5092,sat,25,5052,0.0,0.0,sat,26,5116,0.0,0.0,sat,29,15336,timeout,63017,65312
20211101-Geogebra/IsoRightTriangle-Bottema8_1b.smt2,timeout,63021,39084,timeout,63016,39044,0.0,0.0,timeout,63014,39012,0.0,0.0,sat,102,16588,timeout,63024,147252
20211101-Geogebra/IsoRightTriangle-Bottema1_17a.smt2,timeout,63016,17052,sat,1917,7280,0.0,0.0,sat,1802,7292,0.0,0.0,timeout,63016,21928,timeout,64503,124904
20211101-Geogebra/IsoRightTriangle-Bottema4_2b.smt2,sat,88,5600,sat,92,5560,0.0,0.0,sat,92,5620,0.0,0.0,sat,56,16380,timeout,63028,132600
20211101-Geogebra/IsoRightTriangle-Bottema1_15a.smt2,timeout,63017,34440,sat,38030,34444,0.0,0.0,sat,37400,34740,0.0,0.0,sat,50,16272,timeout,63027,123424
20211101-Geogebra/Triangle-Bottema1_3.smt2,sat,298,5988,sat,105,5932,0.0,1.0,sat,112,6008,0.0,1.0,sat,161,16476,timeout,63022,192248
20211101-Geogebra/IsoRightTriangle-Bottema1_23b.smt2,timeout,63016,36492,timeout,63016,36396,0.0,0.0,timeout,63017,36136,0.0,0.0,timeout,63018,44288,timeout,63026,123976
20211101-Geogebra/IsoTriangle-Perimeter_CircumRadius_a.smt2,sat,71,5392,sat,43,5284,1.0,0.0,sat,35,5264,1.0,0.0,sat,66,16056,timeout,63020,132180
20211101-Geogebra/Triangle-Bottema1_8.smt2,timeout,63018,81340,timeout,63015,81816,0.0,0.0,timeout,63034,325176,0.0,0.0,sat,4038,16728,timeout,63022,205352
20211101-Geogebra/Triangle-SymmHomPoly_3-2-2.smt2,timeout,63013,18576,timeout,63018,18536,0.0,0.0,timeout,63013,18640,0.0,0.0,sat,405,16412,timeout,63026,131784
20211101-Geogebra/RightTriangle-Bottema5_3b.smt2,sat,87,5492,sat,85,5344,1.0,0.0,sat,38,5348,1.0,0.0,sat,99,15876,timeout,63024,82052
20211101-Geogebra/RightTriangle-Bottema5_3a.smt2,timeout,63021,107100,timeout,63020,107084,0.0,0.0,sat,898,6636,0.0,1.0,sat,445,16372,timeout,63021,129656
20211101-Geogebra/Triangle-Bottema1_19.smt2,sat,89,5552,sat,111,5548,0.0,0.0,sat,103,5604,0.0,0.0,sat,74,16276,timeout,63019,105160
20211101-Geogebra/IsoRightTriangle-Bottema1_17b.smt2,timeout,63014,57516,timeout,63015,54072,0.0,0.0,timeout,63017,54144,0.0,0.0,sat,57,16308,timeout,63017,98532
20211101-Geogebra/IsoRightTriangle-Bottema1_2b.smt2,timeout,63068,60184,timeout,63016,60260,0.0,0.0,timeout,63018,60324,0.0,0.0,sat,57,16300,timeout,63021,130512
20211101-Geogebra/IsoRightTriangle-Bottema6_1b.smt2,sat,71,5536,sat,56,5516,0.0,0.0,sat,62,5572,0.0,0.0,sat,42,16420,timeout,63022,140836
20211101-Geogebra/OposicionsSecundariaCatalunya2018-2_4b.smt2,timeout,63014,40996,timeout,63015,40944,0.0,0.0,timeout,63017,40972,0.0,0.0,timeout,63013,55204,timeout,63103,419288
20211101-Geogebra/Triangle-SymmHomPoly_3-3-1.smt2,timeout,63020,27356,sat,50457,27268,0.0,1.0,sat,49002,27248,0.0,1.0,sat,427,16328,timeout,63021,186192
20211101-Geogebra/IsoTriangle-Median_Perimeter_a2.smt2,sat,112,5608,sat,88,5520,0.0,1.0,sat,28,5336,0.0,1.0,sat,66,16260,timeout,63016,88428
20211101-Geogebra/TriangleInequality_Triangle-a+b_c.smt2,sat,143,5860,sat,76,5672,1.0,0.0,sat,58,5740,1.0,0.0,sat,285,16056,timeout,63028,121396
20211101-Geogebra/Triangle-Bottema1_7.smt2,sat,32487,28172,sat,27196,28096,0.0,1.0,sat,41080,31836,0.0,1.0,sat,79,16040,timeout,63024,154740
20211101-Geogebra/IsoRightTriangle-Bottema1_3a.smt2,timeout,63021,74220,timeout,63035,95748,0.0,0.0,sat,33,5316,0.0,0.0,sat,41,16280,timeout,63024,107036
20211101-Geogebra/Triangle-Area_Perimeter_a.smt2,timeout,63014,19304,timeout,63017,19252,0.0,0.0,sat,33806,15512,1.0,0.0,sat,119,16284,timeout,63021,115164
20211101-Geogebra/IsoRightTriangle-Bottema1_15b.smt2,timeout,63018,46304,timeout,63061,46248,0.0,0.0,timeout,63017,46328,0.0,0.0,timeout,63021,140452,timeout,63025,151588
20211101-Geogebra/RightTriangle-Bottema6_1b.smt2,timeout,63015,128920,sat,1175,8300,1.0,0.0,sat,2497,10428,1.0,0.0,sat,314,16296,timeout,63023,240004
20211101-Geogebra/IsoRightTriangle-Bottema1_19b.smt2,sat,35,5120,sat,32,5064,0.0,0.0,sat,20,5100,0.0,0.0,sat,46,16148,timeout,63019,142960
20211101-Geogebra/PythagoreanGeneralization_Triangle-aa+bb_cc.smt2,sat,54,5448,sat,139,5332,0.0,1.0,sat,36,5380,0.0,1.0,sat,94,16176,timeout,63019,130960
20211101-Geogebra/Triangle-Perimeter_2Medians_a.smt2,timeout,63017,110428,timeout,63019,109812,0.0,0.0,timeout,63022,109256,0.0,0.0,timeout,63020,45684,timeout,63033,382212
20211101-Geogebra/IsoRightTriangle-Bottema1_4b.smt2,sat,2408,6792,sat,2191,6752,0.0,0.0,sat,437,6248,0.0,0.0,sat,71,16264,timeout,63021,123876
20211101-Geogebra/IsoRightTriangle-Bottema1_4a.smt2,sat,2995,10168,sat,2903,10192,0.0,0.0,sat,2996,10340,0.0,0.0,timeout,63011,31136,timeout,63019,97288
20211101-Geogebra/RightTriangle-Bottema11_20a.smt2,sat,541,5680,sat,379,5572,0.0,1.0,sat,92,5508,0.0,1.0,sat,153,16280,timeout,63024,112964
20211101-Geogebra/IsoTriangle-Bottema6_1b.smt2,timeout,63018,72404,timeout,63017,72388,0.0,0.0,timeout,63017,72340,0.0,0.0,sat,145,16344,timeout,63021,144964
20211101-Geogebra/RegHexagon-ProductDiagonals_CircumRadius.smt2,timeout,63016,25044,timeout,63097,27144,0.0,0.0,timeout,63016,30248,0.0,0.0,timeout,63012,44840,timeout,63017,149468
20211101-Geogebra/IsoTriangle-Perimeter_CircumRadius_c.smt2,timeout,63019,93532,timeout,63018,93476,0.0,0.0,timeout,63016,93516,0.0,0.0,timeout,63017,50392,timeout,63024,343496
20211101-Geogebra/IsoRightTriangle-Bottema1_9a.smt2,timeout,63015,38312,timeout,63015,38300,0.0,0.0,timeout,63014,38364,0.0,0.0,sat,46,15412,timeout,63031,96880
20211101-Geogebra/OposicionsSecundariaCatalunya2018-2_4a.smt2,sat,383,5932,sat,269,5904,0.0,0.0,sat,160,5756,0.0,0.0,sat,383,16700,timeout,63022,198676
20211101-Geogebra/IsoTriangle-Area_Perimeter_a.smt2,sat,75,5324,sat,81,5124,1.0,0.0,sat,28,5168,1.0,0.0,sat,43,15856,timeout,63017,68836
20211101-Geogebra/IsoRightTriangle-Bottema1_7a.smt2,sat,9821,21700,sat,8504,21616,0.0,0.0,sat,9564,21776,0.0,0.0,timeout,63014,21092,timeout,63018,94048
20211101-Geogebra/RegHendecagon-Diagonal_Side.smt2,timeout,63019,150616,timeout,63019,150588,0.0,0.0,timeout,63018,150640,0.0,0.0,timeout,63020,59304,timeout,63024,152716
20211101-Geogebra/IsoRightTriangle-Bottema1_5b.smt2,timeout,63039,29284,timeout,63017,29236,0.0,0.0,sat,3272,13060,0.0,0.0,sat,47,15960,timeout,63021,236756
20211101-Geogebra/RegOctagon-ProductDiagonals_CircumRadius.smt2,timeout,63046,42652,timeout,63026,42604,0.0,0.0,timeout,63019,95252,0.0,0.0,timeout,63057,1273720,timeout,63074,1667676
20211101-Geogebra/Triangle-Bottema1_1.smt2,timeout,63018,89688,timeout,63016,89680,0.0,0.0,sat,2816,6716,1.0,0.0,sat,185,16260,timeout,63046,109004
20211101-Geogebra/Triangle-Bottema1_12.smt2,timeout,63015,58100,timeout,63017,52908,0.0,0.0,timeout,63018,52892,0.0,0.0,sat,172,16588,timeout,63028,350928
20211101-Geogebra/RightTriangle-Bottema8_1b.smt2,timeout,63079,1645292,timeout,63052,1810336,0.0,0.0,timeout,63080,1645340,0.0,0.0,sat,126,16772,timeout,63019,132668
20211101-Geogebra/RightTriangle-Bottema1_19a.smt2,timeout,63042,66372,sat,107,5736,0.0,1.0,sat,45,5476,0.0,1.0,sat,141,16356,timeout,63019,66068
20211101-Geogebra/Triangle-Bottema1_23.smt2,timeout,63109,34596,timeout,63014,68276,0.0,0.0,timeout,63021,40144,0.0,0.0,sat,111,16580,timeout,63027,157340
20211101-Geogebra/RightTriangle-Bottema1_19b.smt2,timeout,63017,45892,timeout,63017,35448,0.0,0.0,sat,61,5572,1.0,0.0,sat,68,16388,timeout,63026,317168
20211101-Geogebra/RightTriangle-Bottema1_1a.smt2,timeout,63016,34040,sat,418,5964,0.0,1.0,sat,133,5648,0.0,1.0,sat,136,16080,timeout,63113,102424
20211101-Geogebra/IsoRightTriangle-Bottema5_3b.smt2,sat,34,5312,sat,42,5256,0.0,0.0,sat,38,5268,0.0,0.0,sat,82,16148,timeout,63019,111972
20211101-Geogebra/Triangle-SymmHomPoly_3-2-1.smt2,timeout,63022,89296,timeout,63038,88608,0.0,0.0,sat,4056,7004,1.0,0.0,sat,211,16292,timeout,63020,158876
20211101-Geogebra/IsoTriangle-Bottema4_2b.smt2,sat,25,5220,sat,32,5176,0.0,0.0,sat,31,5244,0.0,0.0,sat,53,16144,timeout,63035,79816
20211101-Geogebra/Odom-GoldenRatio-RegTriangle.smt2,sat,173,5464,sat,70,5376,0.0,0.0,sat,61,5456,0.0,0.0,sat,115,16236,timeout,63022,132576
20211101-Geogebra/IsoRightTriangle-Bottema1_7b.smt2,timeout,63024,18316,timeout,63021,18356,0.0,0.0,timeout,63018,59688,0.0,0.0,sat,78,16300,timeout,63065,194460
20211101-Geogebra/RegPentagon-Diagonal_Side.smt2,timeout,63021,44452,timeout,63020,43736,0.0,0.0,timeout,63023,85732,0.0,0.0,timeout,63015,134184,timeout,63028,251632
20211101-Geogebra/RightTriangle-Bottema11_20b.smt2,sat,38,5296,sat,30,5260,0.0,1.0,sat,26,5184,0.0,1.0,sat,49,15912,timeout,63036,561868
20211101-Geogebra/IsoTriangle-Bottema8_1b.smt2,timeout,63023,81544,timeout,63016,62956,0.0,0.0,timeout,63024,63024,0.0,0.0,sat,85,16424,timeout,63017,90332
