,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
nl_counters/fn-counters__instance_9_15.smt2,timeout,63019,23904,timeout,63014,23876,,,timeout,63015,23908,,,timeout,63021,86496,timeout,63125,2083708
nl_counters/fn-counters__instance_14_15.smt2,timeout,63035,51792,timeout,63018,51764,,,timeout,63023,51792,,,timeout,63027,149300,timeout,63190,2137600
nl_counters/fn-counters__instance_3_50.smt2,timeout,63123,2759896,timeout,63014,19444,,,timeout,63014,19476,,,timeout,63019,101684,timeout,63093,2481168
nl_counters/fn-counters__instance_5_100.smt2,timeout,63019,104776,timeout,63096,105144,,,timeout,63018,105300,,,timeout,63023,188564,timeout,63098,3103352
nl_counters/fn-counters__instance_7_75.smt2,timeout,63021,133676,timeout,63019,132244,,,timeout,63017,133268,,,timeout,63026,190344,timeout,63100,2371916
nl_counters/fn-counters__instance_12_25.smt2,timeout,63019,77376,timeout,63018,77376,,,timeout,63014,78352,,,timeout,63023,111772,timeout,63111,2106824
nl_counters/fn-counters__instance_12_10.smt2,timeout,63017,24528,timeout,63021,24500,,,timeout,63015,24532,,,timeout,63017,86504,timeout,63138,2529736
nl_counters/fn-counters__instance_13_20.smt2,timeout,63016,67608,timeout,63016,66928,,,timeout,63013,65828,,,timeout,63021,101780,timeout,63170,2059824
nl_counters/fn-counters__instance_2_50.smt2,memout,19975,3994524,memout,16666,3994504,,,memout,23113,3994536,,,timeout,63017,62280,timeout,63148,2279580
nl_counters/fn-counters__instance_12_15.smt2,timeout,63018,38852,timeout,63022,38664,,,timeout,63013,38720,,,timeout,63020,132160,timeout,63126,2469504
nl_counters/fn-counters__instance_13_75.smt2,timeout,63065,552616,timeout,63025,552588,,,timeout,63030,552592,,,timeout,63034,310452,timeout,63339,2376124
