,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
20211101-Geogebra/Triangle-Bottema1_6.smt2,timeout,63015,48892,timeout,63022,48768,0.0,0.0,timeout,63095,30660,0.0,0.0,sat,4701,16872,timeout,63020,295284
20211101-Geogebra/RegHeptagon-Diagonal_Side.smt2,timeout,63019,144356,timeout,63021,144328,0.0,0.0,timeout,63020,138568,0.0,0.0,timeout,63014,38692,timeout,63040,435964
20211101-Geogebra/IsoRightTriangle-Bottema1_14b.smt2,sat,5918,12832,sat,5625,12724,0.0,0.0,sat,13886,15680,0.0,0.0,sat,153,16024,timeout,63024,110088
20211101-Geogebra/IsoRightTriangle-Bottema1_14a.smt2,timeout,63018,37524,timeout,63016,37640,0.0,0.0,sat,66,5576,0.0,0.0,sat,77,15584,timeout,63017,122840
20211101-Geogebra/RightTriangle-Bottema11_20.smt2,sat,70,5372,sat,44,5344,0.0,0.0,sat,28,5188,0.0,0.0,sat,56,15344,timeout,63032,562240
20211101-Geogebra/IsoRightTriangle-Bottema1_3b.smt2,timeout,63017,54332,timeout,63016,54300,0.0,0.0,sat,347,7060,0.0,0.0,sat,158,16348,timeout,63020,170924
20211101-Geogebra/IsoRightTriangle-Bottema1_9b.smt2,timeout,63013,16744,timeout,63012,16632,0.0,0.0,timeout,63015,16652,0.0,0.0,timeout,63013,28292,timeout,63018,138196
20211101-Geogebra/Triangle-Bottema1_5.smt2,timeout,63015,24420,timeout,63014,24368,0.0,0.0,timeout,63014,18864,0.0,0.0,timeout,63015,30132,timeout,63021,211544
20211101-Geogebra/IsoRightTriangle-Bottema1_8a.smt2,timeout,63027,403752,timeout,63057,346272,0.0,0.0,timeout,63019,22848,0.0,0.0,timeout,63021,28996,timeout,63018,138536
20211101-Geogebra/IsoRightTriangle-Bottema1_1b.smt2,timeout,63023,92912,timeout,63019,92872,0.0,0.0,timeout,63018,92908,0.0,0.0,sat,2841,19120,timeout,63021,116984
